 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
   28	      0	   1284	   1552	   1824	   2099	   2374	   2646	   2919	   3196	   3474	   3748	   4022	   4299	   4580	   4860	   5136	   5419	   5703	   6021	   6343	   6623	   6904	   7184	   7460	   7743	   8027	   8303	   8583	   8857	   9129	   9399	   9663	   9925	  10186	  10426	  10666	  10892	  11102	      0	
   29	      0	   1284	   1552	   1824	   2099	   2374	   2646	   2919	   3196	   3474	   3748	   4022	   4299	   4580	   4860	   5136	   5419	   5702	   6020	   6343	   6624	   6904	   7185	   7460	   7743	   8027	   8303	   8583	   8858	   9129	   9399	   9663	   9926	  10186	  10427	  10666	  10892	  11101	      0	
   30	      0	   1284	   1552	   1823	   2098	   2374	   2646	   2919	   3196	   3474	   3748	   4022	   4299	   4580	   4860	   5136	   5419	   5702	   6020	   6343	   6624	   6905	   7185	   7460	   7743	   8027	   8304	   8584	   8858	   9130	   9400	   9664	   9926	  10187	  10427	  10666	  10891	  11100	      0	
   31	      0	   1284	   1552	   1823	   2098	   2373	   2646	   2919	   3195	   3474	   3747	   4021	   4299	   4580	   4860	   5136	   5419	   5702	   6020	   6343	   6624	   6905	   7185	   7460	   7743	   8028	   8304	   8584	   8859	   9130	   9401	   9664	   9926	  10187	  10427	  10665	  10890	  11100	      0	
   32	      0	   1284	   1552	   1823	   2097	   2373	   2646	   2918	   3194	   3473	   3747	   4021	   4298	   4581	   4860	   5137	   5419	   5702	   6020	   6343	   6624	   6905	   7185	   7460	   7743	   8028	   8304	   8584	   8859	   9131	   9401	   9665	   9926	  10187	  10427	  10665	  10894	  11105	      0	
   33	      0	   1283	   1551	   1822	   2097	   2373	   2645	   2918	   3194	   3473	   3747	   4020	   4298	   4581	   4860	   5137	   5419	   5702	   6020	   6343	   6624	   6905	   7185	   7460	   7744	   8028	   8305	   8584	   8859	   9131	   9402	   9665	   9927	  10188	  10428	  10665	      0	      0	      0	
   34	      0	   1283	   1551	   1822	   2097	   2373	   2645	   2917	   3193	   3473	   3747	   4020	   4298	   4581	   4860	   5137	   5418	   5702	   6020	   6343	   6624	   6905	   7185	   7460	   7744	   8029	   8305	   8584	   8859	   9131	   9402	   9665	   9927	  10188	  10428	  10664	      0	      0	      0	
   35	      0	   1283	   1551	   1821	   2096	   2372	   2645	   2917	   3193	   3473	   3747	   4020	   4297	   4580	   4860	   5137	   5418	   5701	   6020	   6344	   6624	   6905	   7185	   7460	   7744	   8029	   8305	   8584	   8860	   9132	   9402	   9666	   9927	  10189	  10428	  10664	      0	      0	      0	
   36	      0	   1283	   1551	   1821	   2096	   2372	   2645	   2917	   3192	   3473	   3747	   4019	   4297	   4580	   4860	   5137	   5418	   5701	   6020	   6344	   6624	   6905	   7185	   7461	   7744	   8030	   8306	   8585	   8860	   9132	   9403	   9666	   9928	  10189	  10428	  10664	      0	      0	      0	
   37	      0	   1283	   1551	   1821	   2095	   2372	   2645	   2916	   3192	   3473	   3747	   4019	   4297	   4580	   4861	   5137	   5418	   5701	   6020	   6344	   6624	   6905	   7185	   7461	   7745	   8030	   8306	   8585	   8861	   9133	   9403	   9667	   9928	  10189	  10427	  10663	      0	      0	      0	
   38	      0	   1283	   1550	   1820	   2095	   2372	   2644	   2916	   3191	   3473	   3747	   4019	   4297	   4580	   4861	   5137	   5418	   5701	   6020	   6344	   6624	   6905	   7185	   7461	   7745	   8030	   8306	   8585	   8861	   9133	   9403	   9667	   9928	  10190	  10430	  10661	      0	      0	      0	
   39	      0	   1283	   1550	   1820	   2095	   2372	   2644	   2915	   3191	   3472	   3747	   4019	   4297	   4580	   4861	   5137	   5418	   5700	   6020	   6345	   6625	   6905	   7186	   7461	   7745	   8031	   8306	   8585	   8861	   9134	   9404	   9668	   9929	  10190	      0	      0	      0	      0	      0	
